,review_comment_message,review_score
21943,"Entregaram antes do prazo, porém, recebemos uma caixa aberta.",4
21944,Produto n foi entregue e consta q recebi ,1
21948,confiavel,5
21949,Excelente vendedor o produto chegou bem antes do previsto,5
21950,Produto nao chegou,1
21953,"A melhor loja para comprar,chega até antes do prazo.os produtos são de qualidade e a loja e acelente, espero sempre está comprando,e recebendo sempre com qualidade todos os produtos.agora vô espera a ",5
21958,Recomendo,5
21959,Foi entregue uma capa com zíper e eu comprei uma capa envelope como consta na listagem dos meus pedidos. Gostaria de saber como será resolvido este problema. ,1
21960,Tdo certo,3
21961,"Entrega rapidíssima, foi comprado e no dia seguinte já estava disponível, show ",5
21964,"Parceiro muito bom, vale a pena comprar com essa loja.",5
21967,"Não consigo abrir o rastreamento e consta como entregue, quero o produto. Quero urgente uma posição sobre isso.",1
21970,Boa tarde venho fazer a solicitação da troca do produto por motivo falha na costura,4
21974,adorei,5
21976,"Bom recebi um suporte, mas foi com uma ventosa pra colocar no vidro, e o que eu comprei foi pro encosto do banco. Porém não tenho interesse na troca. Ja comprei outro. Obrigada. ",1
21978,"A descrição do produto está muito confuso....SEGUE DETALHAMENTO......
aíses Europeus Controle De Ipod Traseiro, Pode Carregar O Ipod/Iphone Rca Câmera De Visão Traseira De Entrada Relógio Em Tempo Re",5
21986,"Boa qualidade comparativo ao valor do produto. Entrega rapida,Produto igual a foto. Gostei e recomendo e vou comprar mais uma. satisfeita",5
21991,.,5
21992,"Chegou muito antes do prazo.
Ótimo produto.
Recomendo.",5
21993,Ainda não recebi o produto e nem responderam a minha pergunta ,2
21995,Produto excelente,5
21996, Chegou muito antes da data prevista 😍 Parabéns!!!!,5
21997,"Realizei a compra em 29/04/17 e até hoje, 31/05/17 não recebi o produto.",1
21998,Produto excelente. Facil uso. Recomendo.,5
21999,Produto de excelente qualidade. Superou minhas expectativas,5
22001,Só recebi uma unidade sendo que comprei duas unidades ,1
22002,Não recebi o produto.,1
22004,PERFEITO ,5
22005,"Meu pedido não foi entregue, porém já recebi e-mail informando que foi entregue, e quero meu pedido.",1
22006,legal,3
22007,sempre que faco compras recebo direitinho os produtos,5
22008,Produto não funciona.,1
22010,"A loja cumpriu com a parte dela,porem o produto não fi entregue pelos correios.fiquei insatisfeita
",3
22013,"O LG d300 lindo pena que não tem Android o mais ele é completonho.
",5
22015,A película para o celular não veio como eu queria. ,3
22018,ENTREGA NO PRAZO LOJA HONESTA,5
22021,Após o produto faturado a loja enviou e-mail que não poderia entregar por falta de estoque. Ao buscar pela compra na internet a loja disponibiliza o produto para venda por um preço superior ,1
22022,"Entrega antes do prazo, produto de primeira excelente...cores perfeitas iguais comprei.. enfim me tornei cliente. Comprarei mais vezes. Obs. O frete poderia ser grátis..fica a dica",5
22034,Este produto era o que eu esperava ,5
22039,Muito bom o produto e recomendo a qualquer pessoa a comprar,5
22042,O PRODUTO CHEGOU ANTES DO PRAZO E MUITO BEM EMBALADO...,5
22043,"A data limite para entrega era dia 12/04, e até agora dia 20/04 não foi entregue. Em consulta ao site dos correios, consta mercadoria com dificuldade na entrega. Aguardo solução!!!!",1
22044,Mto bom. Chegou antes do prazo.,4
22045,Me mandaram um produto com a medida muito menor do anunciado. Solicitei a troca.,1
22049,Até o momento o produto não chegou. Está fora do prazo de entrega.,1
22050,"produto entregue no prazo,recomendo qualquer compra na loja",5
22052,Não entrega os produtos pelo correios,1
22057,TD DE BOM,5
22058,Gostei. ,4
22060,Minha loja preferida,5
22062,Produto em perfeito estado e entrega rapida.,5
22064,"Chegou muito antes do prazo, ainda n usei o produto mas chegou td certinho. ",5
22067,"Produto muito bonito, possui detalhes no tecido, mas não parece ser resistente. ",4
22068,"Chegou antes da data, excelente produto ",5
22072,"Efetuei a compra de um relógio Cássio, de acordo com a descrição do produto e a foto, porem o relógio que chegou é completamente diferente do que eu efetuei a compra. Achei falta de respeito comigo.",3
22074,lindo relogio gostei,4
22075,Super Recomendo,4
22077,Bom produto!,4
22078,entrega bem rapida,5
22080,lannister nota 10 !!!!,5
22082,"Produtos entregues antes do prazo, clareza nas informações e retorno imediato das demandas é questionamentos. Recomendo as lannister. ",4
22086,"Entrega super rapida ,amei o tapete!",5
22088,Entrega dentro do prazo.,5
22091,"o cartao do memoria nao funciona corretamente, perdi os arquivos que coloquei no mesmo... preciso fazer a devolucao",1
22096,"Gostei muito, chegou bem rápido , o produto é ainda melhor que eu esperava.",5
22101,"ao realizar a compra de uma cortina tecido blackoute conforme foto do anuncio, e recebi uma cortina de plastico, nada parecido com a foto do anuncio, sempre comprei na baratheon e isso nunca aconteceu",1
22103,"Já faz 1 mês que fiz a compra e ainda não chegou, não consigo nem rastrear. 
Espero que resolvam meu problema. ",1
22105,Ótimo atendimento ,5
22106,Produto entregue dentro do prazo estipulado.,5
22108,Ainda não recebi o produto. ,1
22109,"Não recebi o produto, porem no site consta como entregue.",1
22118,Gosto muito de compra na loja pois Sempre chegar certo bom atendimento obrigada pelo caminho,5
22120,"Adorei comprar com vcs, produto excelente, chegou 10 dias antes do prazo estabelecido",5
22123,"Muito boa, fácil e rápida navegação no site e a entrega foi bem antes do prazo combinado.",5
22125,Não recebi.,1
22128,"Gostei muito ! Parabéns pela dedicação aos clientes...
",5
22133,Entrega antes do prazo previsto 👍,5
22140,"Recebi antes do prazo, muito rápio.",5
22141,Produto dentro da expectativa,4
22145,Nao me agradou muito o material de baixa qualidade,1
22146,"O entregador dos Correios foi 2 X em casa no mesmo horário (horário do almoço do porteiro). Quando a pessoa não é encontrada num determinado horário, o ideal é fazer a segunda tentativa em outra hora.",4
22148,Ainda não recebi o produto ,1
22149,bom,4
22150,Nunca mais eu comprou nas Américas ,1
22156,"Demorou um pouquinho, mas a cadeira é muito boa!",4
22157,Bom muito bom estou satisfeito,5
22158,Chegou em ótimo estado .,4
22159,"produto incompleto, qualidade ruim.",2
22162,"Super recomendo, o pedido foi entregue bem antes da data que era para ser entregue e em perfeito estado!",5
22167,produto dentro do esperado sem defeitos,4
22168,Ótimo,5
22173,"Perfuração da camêra fora de centro, além de não cobrir as bordas contrário a descrição do produto, deixa de cobrir cerca de 1,5 mm ao redor da tela.
Não recomendo.",1
22174,"Super recomendo! Produto veio dentro do prazo, muito bem embalado e de acordo com o enunciado no site. Podem comprar sem problemas!",5
22177,"nao posso avaliar o produto nao foi entregue
preciso de uma posiçao",1
22179,Satisfeita. Produto conforme anunciado.,5
22180,Bom ,4
22185,Entregaram apenas um produto dos quatro itens do pedido... Quero o restante do pedido... Cadê?,1
22187,Fiquei surpresa quando chegou somente um produto do que eu havia pedido. Depois percebi que seriam entregues por duas transportadoras. Ate o momento ainda não recebi a outra mercadoria. Preocupada. ,2
22190,Pedi da cor rosa e chegou da cor roxa escuro e não gostei da cor,1
22191,Linda boneca .como é presente não tirei da caixa para ver como esta .mas aparentemente tudo certo ,5
22195,"se vc não tem o produto pra me entregar
por que vcs não devolvem o meu dinheiro..
...vcs querem que eu entre na justiça
aguardo uma posição da lannister",1
22198,"Produto veio correto, porém a cor veio trocado.",4
22199,Bom,5
22204,Recebi o produto correto e bem antes do prazo estipulado pelo vendedor.,5
22207,O produto foi entregue com defeito. O prazo de 48 horas já passou e não recebi nenhuma ligação.,1
22209,"So houve problemas na entrega, mas foi por causa dos Correios. Ainda sim foi entregue no prazo",5
22212,"Não há prejuízo na impressão, pelo menos por enquanto, mas eventualmente a impressora informa que o cartucho não está corretamente instalado. É necessário retirá-lo e colocar novamente.",2
22214,Tudo certo ,5
22221,Ótimo produto,4
22226,olha eu uso ja faz muito tempo amo e recomendo a tds e maravilhoso amo comprar nas lannister obrigada gente boa,5
22233,"VEIO COM LACRE DA CAIXA RASGADO , MAIS ESTAVA TUDO CERTO.",4
22234,NÃO TENHO NOTÍCIA DO PRODUTO COMPRADO,1
22235,Não recomendo porque comprei um forno e dois dias depois fiz devolução porque queria uma outra marca. Até agora não tive ressarcimento do valor pago,2
22236,Serviço rápido e eficiente.,5
22237,Pontualidade e confiança ,5
22240,entregaram no prazo tudo ok,5
22247,Não recebi o produto e nem uma previsão.,1
22250,Recebido conforme o pedido e dentro do prazo estabelecido. ok ,5
22252,ok recebido ,4
22255,Frete muito caro!!!!,4
22256,Não recomendo. Produto não funcionou e veio numa embalagem sem proteção.,2
22259,Houve falha nas informações sobre a venda.,3
22261,"Chegou antes do prazo,igual o da foto adorei.",5
22263,Comprei o modelo Master (com prateleira) e me enviaram o Standard (sem). Solicitei cancelamento e devolução ,1
22264,Não recebi o pedido completo e consta como entregue ,1
22265,O produto que veio não é original HP. Fui enganada,1
22266,"na verdade o produto chegou um dia após a data prevista e não mim satisfez. mesmo assim agradeço
",3
22267,"OBRIGADA ,FUI BEM ATENDIDA",5
22268,"Entrega no prazo mesmo com greve do correios, produto bem acondicionado. Excelente.",4
22269,"A empresa não acompanha o rastreamento, desde o dia 1 de março encontra-se sem atualiazação na agência dos correios de Cajamar-SP, e somente o remetente pode abrir uma reclamação junto aos correios.",1
22271,Gostei muito ,5
22273,Gostei muito do site,5
22277,MATERIAL DE ÓTIMA QUALIDADE,5
22278,todos os outros produtos foram entregues no prazo. Porém esse está em atraso e tenho evento no dia 25/04 e estou contando com o material,1
22279,Perfeito ,5
22280,Blz ,4
22281,Muito boa as tesouras sao otimas corte preciso ,5
22283,Resolveu pra mim,5
22284,Muito bom a baratheon ,5
22285,a balança veio faltando uns ferrinhos na bandeija dela ,3
22286,O produto chegou com a pintura lateral descascada. e o lacre não estava violado então ela já veio com defeito do fornecedor. mas como fica mais caro pedir pra trocar vou ter que ficar com ela.,2
22289,"O produto chegou corretamente, e antes do prazo previsto!",5
22290,Bom,3
22292,"Tecido muito fino e não para no box, escorrega conforme mexe o colchão",1
22293,Eu adorei o produto,5
22298,"Loja aprovada, recomendaria pra outras pessoas...irei comprar novos produtos.",5
22300,"Comprei dois Moto G5 S plus com duas capas e duas películas. As lannister não aprovou o pagamento dos smartphones, mas enviou as capas com as películas. É difícil viu.",5
22301,"Produto maravilhoso.
Lojas lannister nota 10.",5
22302,"A cafeteira é muito bonita, de vidro, é resistente e fácil de limpar. A tampa é de plástico duro, coberta por uma pintura metálica, seria melhor se fosse de metal, mas, pelo menos, a qualidade é boa.",4
22303,Chegou no prazo! em ótimas condições,5
22306,Entregue no prazo tudo correto recomendo,5
22309,Xxxxx,5
22310,"Produto entregue antes do prazo, maior quantidade e menor preço.",5
22312,"recebi a entrega antes do prazo, produto de ótima qualidade, veio com instruções de cuidados e bilhete atencioso do vendedor.",5
22316,"Recebi meu pedido, três cartuchos para impressora HP ""originais"", porém ao instalá-los na impressora, a mesma recusou informando que eram recarregados. Solicitei a devolução, mandei dia 16/07 e nada.",1
22317,Foi entregue no período mencionado. Veio embalado e seguro. E veio o produto certo.,5
22318,"Adorei , alem de ter chegado o produto esperado, chegou muito antes do prazo .",5
22319,Prazo não foi cumprido ... até hoje não chegou :( primeira vez que tenho problema com entrega.,1
22327,vendedor onesto e correto,5
22328,"ATE HOJE AINDA NÃO RECEBI MINHA MERCADORIA, ESTOU NO AGUARDO.",3
22329,"Paguei passagem para retirar o produto nos Correios quero o ressarcimento do frete ,se até o dia 1 não me derem uma resposta no dia 2 irei ao Procon. ",1
22330,"Eu recomendo !! Mais meu produto Ainda não foi entregue ... tem mais de 1 mês . Por favor , resolvam !!! Obs.: 7 pessoas que indiquei compraram com vcs e só o meu não chegou !!!!!! ",3
22335,Não recebi o produto ,1
22337,Bom produto e entrega rápida. Recomendo,5
22340,"Minha mesa veio com o tampo todo danificado parecendo usada. 
Estou tentando a troca na por enquanto está difícil. ",1
22342,bom,5
22343,Rápido demais chegou ja usamos é bom o produto parabéns,5
22344,Preços ótimos ,5
22347,"RECEBI O PRODUTO NO PRAZO,COM QUALIDADE E BOM PREÇO.",5
22349,A entrega foi muito rápida e o produto atende as expectativas!,5
22350,Me entregaram FALTANDO um vidro de perfume,1
22352,Entrega rápida ,4
22355,"Porém achei o frete caro e veio o sabor errado. Era pra ser de (chocolate) e veio de (vitamina de frutas). Mas não quero trocar, pq teria q esperar mais tempo pra começar a utilizar o produto!",4
22359,Super satisfeita,4
22360,"Muito bom o atendimento na compra, entrega super rápida e ótimo produto. ",5
22361,Otimo cabo tudo certo.,5
22369,Fiquei satisfeita com a compra e o atendimento. Obrigada,5
22374,veio tudo sertinho bem imbalado tudo ok,4
22376,"Aprovei o pedido, super lindo o trabalho, chegada antes do prazo.ótima qualidade. Ameiii",4
22383,"Os produtos foram entregues mas, 1 espelho estava quebrado.
Como faço para trocar?
Sou o Síndico do Condomínio.",1
22385,Perfeito,5
22387,estou satisfeito com os produtos,5
22389,"Confiável, veio no prazo. Adorei",5
22391,"O produto é bom, quebra bem o galho, mas o frete saiu caro
",4
22393,Recebido as películas mas não a capa ,1
22396,demora na entrega (ainda nao chegou fora do prazo),1
22397,Demora para resolver meu problema pois meu pedido foi roubado dos correios e ainda hoje espero alguma solução mais se parece que resolver com o cliente vai ser uma das últimas prioridade...estou agua,1
22400,Recomendo esse vendedor ,5
22409,O produto não veio uma uma caixa. Como sempre compro de revendedora não sei se é assim mesmo. Mas vou testar o produto para ver se realmente é original. Pois há falsificações frequentes deste produto.,3
22413,O produtor chegou antes da data,4
22415,Produto chegou rápido,5
22417,Entrega muito rápida parabéns ,5
22421,"Fiz um pedido a mais de mês, e ainda não foi entregue.",1
22423,"Estou acostumada a comprar produtos pelo baratheon. Super confiável, transparência, qualidade e agilidade. Super recomendo.",5
22430,"super rápida a entrega, tudo certinho!",5
22432,"recebi certinho e antes do prazo
",5
22436,"sobre o produto ele e bem rustico, grande, conforme informado e folhas escuras, não foi informado, já a loja poderia dar descontos pois a taxa de entrega, deveria baixa na compra dos produtos.",3
22442,É a primeira vez que há atraso nos meus pedidos. ,1
22447,"Comprei um produto e foi entregue outro, tento ligar no SAC ninguém me ajudou até o momento, estou muito insatisfeito. Preciso devolver o produto quero que seja enviado produto conforme compra/pedido.",1
22448,Top,5
22449,pontual,5
22450,"Pela imagem que selecionei na hora da compra, seria um pacote sabor café e um pacote sabor banana. Chegaram 02 de côco. ",2
22451,"Produto conforme especificações, bem embalado e bonito como nas imagens.",4
22452,Entregaram antes do prazo 😀,5
22453,"O produto é ótimo, minha única reclamação e sabre a entrega, que não foi feita na minha residência",3
22456,👍👍👍,5
22458,"Produto excelente, entrega rápida! ",5
22460,Produto entregue no prazo.,4
22466,Recomendo a todos.,4
22469,"Produto chegou bem antes do prazo estipulado pela loja. Estão de parabens, super recomendo.",5
22471,"Olá!
Ainda não recebi o produto e o prazo informa para entrega seria para dia 04.06.2018, mais até o momento nada......",1
22472,Super recomendo .. Entrega super rapida !,5
22478,Produto entregue antes do prazo e atendeu minhas necessidades,5
22479,"As bolsas são lindas.
Gostei bastante.",4
22480,"A entrega foi rápida, o produto superou as minhas expectativas, pena que o recarregador de baterias veio com um pequeno defeito de fabricacao, ma nada que comprometa a lanterna.",5
22482,O produto chegou super rápido o stark cada dia mais melhorando seu atendimento ,5
22483,"Rapidez na entrega, produto igual ao informado no anúncio! Gostei",5
22484,Boa empresa para comprar,3
22487,Excelente.,5
22488,"Gostei muito da minha capa de poltrona, e estou muito satisfeita com a agilidade, foi entregue bem antes do prazo previsto. Recomendo.",5
22489,Produtos de qualidade... recomendadíssimo ,5
22490,Muito bom,4
22491,"Amei o produto material muito bom,duti dentro do esperado,recomendo.",4
22492,Atendimento HORRIVEL ,1
22493,A entrega foi rápida.. Mais Eu comprei o produto da cor azul e me entregaram preta..,3
22495,recebi no prazo e recomendo muito bom ,5
22496,Loja rápida na entrega. Só houve um incidente pelo fato de não vim o produto escolhido e sim um similar.,4
22499,"A empresa é boa, mas achei muito alto o preço do frete para o total de produtos comprados.",3
22500,"O produto por hora está funcionando bem, a estrega chegou antes do esperado. Parabéns!",5
22501,Bom,5
22507,Recebi o produto muito antes da data prevista pela loja,4
22508,Produto de excelente qualidade. ,5
22509,A compra do produto e sua entrega foram realizadas de forma satisfatória Naõ houve contratempo algum Tudo correu sem maiores contratempos ,5
22510,super satisfeita com o produto e entrega,5
22513,Recomendo,5
22521,"Gostaria de agradecer pelo excelente serviço, entretanto recebi minha mercadoria no tempo hábil até mesmo bem antes do prazo previsto...

Obrigado!",5
22525,"Nao gostei do boneco, achei que era original, mal pintado e tudo borrado, pessima qualidade.",1
22537,Ótima compra. ,4
22539,"Eu amei o produto , super indico ",5
22541,Gostei. Chegou rápido. Ótimo produto...,5
22544,Muito bonito,5
22546,"Comprei a roupinha conforme a foto (roupinha preta de ballet com saia cor de rosa e sapatinhos), mas a roupinha que recebi foi uma azul (camisetinha e calça) de unicórnios, nada a ver com a foto.",1
22547,"Havíamos encomendado 2 unidades deste produto apenas chegou uma ...mas após 5 dias chegou a outro ..e tudo certo ...e o produto é maravilhoso ,recomendo .",4
22548,"A entrega ocorreu muito rápida, entretanto o produto parece falso, durou 2h no máximo. Fui na loja Riachuelo e peguei o mesmo produto, utilizei e durou umas 5 horas amais.",2
22552,"O produto é para uma pessoa, ainda não foi testado, espero que funcione bem num fogão por indução, que é o propósito. 
Obrigada a todos! Parceiro e lannister!! ",5
22554,bom,5
22559,gostei do produto e chegou dentro do prazo,5
22563,"Deveria enviar este produto por uma empresa diferente do Correios, devido a empresa demorar na entrega e não liberar o produto no centro de distribuição. ",1
22564,O produto veio em perfeitas condições e chegou antes do prazo. Parabéns pelo atendimento. ,4
22567,"Excelente vendedor, rápido no envio do produto, com certeza farei mais compras neste vendedor. ",5
22568,"Chegou antes prazo, tudo certo e sem defeitos ",5
22569,otimo material,4
22570,"É lamentável o que está acontecendo,está muito difícil comprar pela internet. Sendo que a compra está paga,já debitada do meu cartão,e até agora não consigo usufruir do meu produto.Não tenho notícias!",1
22573,"Produto entregue antes do prazo, tudo ok, loja confiável.",5
22575,"produto muito bom , adorei",5
22577,"Houve um pequeno problema na entrega, mas foi resolvido e logo em seguida chegou.",3
22578,Parabéns pela seriedade da targaryen. ,5
22581,bom,5
22587,Enviaram o produto errado.,1
22588,Entrega dentro do prazo. Produto conforme anunciado.,4
22590,"Recebi o produto 4 dias antes do prazo, quando abri a caixa notei que os fios vieram na cor preta e eu fiz o pedido na cor branca... varios arames da luminaria estão tortos, deixou a desejar pra mim.",3
22595,Ter q ir retirar nos Correios foi péssimo ,2
22601,Exelente,5
22602,Produto de qualidade e entrega rápida.,5
22608,Veio com defeito desfiada ,3
22609,A capinha é mais fina do que eu esperava. Mas no geral fica bonito no aparelho e ainda protege razoavelmente.,5
22610,"Não recebi o produto que comprei, veio um produto parecido
",3
22611,Otima,5
22614,As Lojas lannister sempre entregam o produto corretamente e antes do prazo. ,5
22621,Amo esse baratheon....,5
22625,"Estou muito feliz com o produto escolhido por mim,A entrega foi dentro do prazo, o produto veio em perfeita condições...tudo muito lindo,adorei....
",5
22627,PRODUTO DE QUALIDADE,4
22628,👍👍👍,5
22629,pago na terça e entregue na quinta.,5
22631,Entrega rapida,5
22632,Pela indicação achei que peça seria maior.,2
22633,Parabéns pela rapidez ,5
22634,"Se a loja é à mesma pq só entregou um item faltando os 2 outros itens e nem informao mmotivo. Descaso com o cliente péssima imagem, deixando muito a desejar",2
22639,"O produto não veio na cor Escolhida fiquei desepisionado,não sei o que fazer.
",1
22643,A primeira vez que eu comprei veio certinho ...já o segundo perfume até agora não chegou e minha fatura já chegou com. O valor comprado ,3
22647,Infelizmente minha compra ocorreu na época de greve dos caminhoneiros e por isso não foi entregue no prazo correto. Mas é uma excelente loja e voltarei a realizar futuras compras. ,4
22648,"Muito feliz com a compra, amei o relógio",5
22649,Estou satisfeita com oproduto e o prazo de entrega,5
22654,super recomendo,5
22655,Os cartuchos não funcionaram na minha impressora HP3050.,1
22658,"Gostei muito do compromisso e pontualidade.
",5
22661,RECOMENDO A TODOS O PRODUTO DE BOA QUALIDADE E CHEGOU ANTES DO PRAZO.,5
22663,"Material de ótima qualidade, chegou antes do prazo.",5
22666,"Produto inferior as minhas expectativas, parece 100% sintético. Mas pelo preço é bom.",3
22667,Tudo de primeira.,5
22668,Essa já é a quarta ou quinta compra minha que não chega que esta havendo ,1
22673,Solicitei cancelamento deste produto. Quero receber a tarjeta de devolução devolução para enviar de volta pelo correio. código,1
22675,O produto foi entregue conforme o combinado.,5
22680,"A caixa do relógio que comprei se desintegrou na minha mão ao abri-la.
Enviei por correio hoje para a loja fazer a troca.",1
22682,Agradeço pelo comprometimento o produto veio em ótimo estado e bem embalado..,5
22684,"Achei muito fraquinho.
",3
22691,Estou aguardando o envio ,1
22692,chegou no prazo e aparentemente em ordem,5
22693,"Entregue antes do prazo, super rápido.",5
22694,Muito bom. Entregue antes do prazo. ,5
22697,Tudo ok,5
22700,parece bom ainda não usei.,1
22705,"Entrega rápida, produto exatamente como na descrição, atendimento ao cliente de mais alto nível.",5
22707,"Capa para note acolchoada, muito bonita e básica, vale o preço! ",5
22709,"Produto de acordo com o valor... Mas não gostei da embalagem, que praticamente não existe.",4
22710,Parabéns ! Produto entregue antes do prazo.,4
22711,Produto em perfeito estado,4
22712,Recebi antes do prazo. E funciona direitinho.,5
22713,Gostei muito. Chegou muito antes do prazo . Super recomendo,5
22716,"Paguei o produto a vista, não recebi no prazo estipulado e não me enviaram nenhuma informação apos vencimento do prazo de entrega.",1
22720,"Ótimo brinquedo para crianças maiores de três anos, meu filho amou",4
22723,Obrigada chegou corretamente.,5
22729,produto de otima qualidade,5
22735,Não houve nenhum comunicado sobre o atraso,1
22736,"Produto de acordo com a foto e descrição, era exatamente o que eu queria. Grato! ",5
22737,Produtos originais! Recomendo,5
22738,Produto entregue.,5
22739,"Touca chegou com furo e um risco que falta pouco pra rasgar também. 
Nas instruções de uso do produto diz que não pode ser usado se estiver rasgado, sendo assim não poderei usar o produto comprado.",1
22740,"Muito satisfeito com a compra, recomendo.",5
22742,Achei demorada a entrega pelo tamanho da mercadoria!,2
22746,as prateleiras não recebi,2
22752,cumpriu com o esperado,5
22756,Tudo ok,5
22757,Otimo,5
22765,Recebi o produto errado,1
22766,"recebi o produto antes do prazo, tudo ok até o momento.",4
22767,ótima ,5
22770,"Recebi meu produto antes do prazo. O cobertor é de excelente qualidade, estou muito satisfeita.",5
22771,Parece que foi vendido um produto indisponivel na loja,1
22772,"Um pouco de confusão na hora de entrega, mas tudo resolvido",4
22773,Perfeito ,5
22775,Atendeu às expectativas,4
22776,"A única ressalva é a válvula ou torneirinha, que achei ser de baixa qualidade, no mais a Siqueira é bem interessante.",4
22780,"Quero agradecer toda a atenção, o produto chegou uma semana antes do prazo de entrega. Recomendo .muito bom.as bbs ficaram felizes e nos tbm.",5
22783,"Minha luminária chegou dentro do prazo estipulado (até um pouquinho antes), muito bem embalada e dentro das especificações. Recomendo o produto e a loja, com certeza!",5
22784,Péssima entrega ,1
22788,Muito bonitinhos e macios.,5
22791,"Comprei uma elevação de acento com forro no assento e nos ""braços"". Vocês entregaram sem o forro.",1
22792,Linda cortina!,4
22793,Era o esperado,4
22795,Muito grande. Muito bom,5
22798,"Entrei em contato com o Vendedor ((RPGrupo) que prometeu a substituição. Como o prazo para avaliação pelas lannister termina amanhã, estou registrando o problema ocorrido e a pendência de solução.",2
22800,"Produto muito bom, exatamente o demonstrado no site. ",5
22802,Super recomendo,5
22804,"bom produto, funciona legal.",5
22805,Produto chegou bem antes do prazo estimado. A Lancheira É linda estou muito satisfeita com a compra! ,4
22806,"O produto foi entregue rápido do jeito que eu escolhi muito bom o site
",5
22809," no anuncio um aparelho original TCL, o que eu recebi é SKY, funciona mas não é o que estava no anuncio.",1
22812,"Produto entregue antes da data prevista, produto correto, recomendo.",5
22813,Só achei desleixada a maneira que o produto foi embalado,4
22818,Os produtos vieram conforme o pedido,3
22820,Empresa não é pontual na entrega.,1
22828,"Cor divergente: pedi azul turquesa e veio verde.
Produto mal feito. Rústico demais.",1
22829,Só recebi a cortina.. o rolo nao recebi.. e consta como se tivesse entregado os 2.,1
22831,Produto excelente e chegou antes do prazo.,4
22832,"Escolhi as taças com caveira mexicana, foram entregues as de pôquer. ",1
22835,muito bom produto.,5
22838,"Amei, produto de qualidade e chegou antes do prazo previsto !!!! Recomendo a quem quiser , superou as expectativas ! ",5
22841,0 produto foi entregue no prazo mas no status colocaram que o produto já tinha sido entregue e não tinha sido mas graças a deus deu certo entregaram no prazo obrigado ,4
22843,"Sou cliente da stark.
Muito boa a loja.",5
22846,"No anuncio diz ser 3 cores, mas veio com varias cores",1
22847,Adoreiiii.,5
22848,"Chegou antes do prazo final, muito bom!",5
22851,desde que começara a trabalhar com parceiros a entrega ficou ridícula,2
22856,Tudo perfeito!,5
22859,Até estão estou amando meu capacete😊,5
22862,xxxxx,3
22864,"Ótima compra, chegou muito antes do prazo. Grata",5
22865,"excelente loja gostei do produto muito bom
entrega rápida.",5
22866,O produto veio com defeito enviei email e nao obtive resposta,1
22867,nao posso avaliar pois ainda nao recebi.26/12/2017,1
22869,A entrega foi no prazo e a venda ocorreu muito bem. A qualidade desse produto e que deixou a desejar. ,3
22879,muito bom e chegou antes do prazo,5
22881,"Considero um descaso, não tem uma posição do andamento da entrega do produto, não oferece opção para acompanhar ou rastrear a entrega
Gostaria de uma posição
obrigada",1
22882,Muito bom,5
22883,Produto entregue bem antes do prazo e tudo em ordem!!!,5
22885,boa qualidade e confortável,3
22886,"O produto é bom, porém a sacola que acompanha é muito fraca, e veio com o fecho rasgado.",4
22887,Parabéns!,5
22888,não recebi foi descontado na fatura cartão quero saber como vai fica isso ..,1
22890,Tem 17 dias que estou esperando a mercadoria e nada de chegar ,1
22891,EU RECOMENDO PRA MEUS MELHORES AMIGOS!obg .,5
22892,Tudo certo e rapido. Obrigado.,5
22893,Tudo de bom!!!,5
22894,"Muito boa loja, o produto veio rápido e em perfeito estado. Recomendado.",5
22899,Estão de parabéns...vou indicar,5
22906,"Excelente loja, ocorreu tudo certo e recebi o produto até antes do prazo.
100% recomendo.",5
22907,produto não é bom,1
22909,"Foram 2 pedidos
1 não chegou
Aguardo",1
22910,Muito bom ,5
22912,"Comprei uma mesa com 2 compartimentos, um para o notebook e outro para o mouse e encaminharam uma mesa mais simples com apenas um compartimento, estou aguardando o retorno para encaminharem o produto ",1
22916,"Recebi apenas o jogo de lençol bege, faltou o branco e consta no site como entregue.",1
22917,Entregou antes do prazo. Adorei.,5
22918,Péssimo ,1
22920,"Como faço para devolver o produto, ",3
22921,Foi entregue antes do prazo e o produto é de ótima qualidade,5
22922,"falta de respeito como cliente estou insatisfeita com o pó-venda, não consigo atendimento em nenhum doos canais de atendimento, alias só há um canal, fone, só que por meio de atendimento eletronico;;;",1
22923,Fiquei satisfeita com o meu produto.,5
22925,"Adorei o celular!
Curtindo muito meu Samsung A 2016!",5
22926,"Péssimo. produto consta como entregue e não recebi o produto.Não existe um tel. p/ falar com um atendente só um robô do outro lado da linha,48 horas úteis p/ uma resposta é muita coisa .",1
22927,"O produto foi entregue antes do prazo nominal.
Muito bom!",5
22930,"Produto melhor que o esperado. Entrega super rápida. À vários anos que sou cliente lannister.COM, por isso, recomendo sempre à todos os meus amigos e familiares!",5
22931,Entrega rápida produto em dia ,5
22933,Bom,5
22934,Entregou antes do prazo muito bom satisfeito ,5
22940,"Produto bom, imaginava outro tecido, mas veio exatamente o descrito. ",4
22942,pensava que os anzóis eram maiores mas ta bom !!,3
22943,"Em um primeiro instante fiquei satisfeita, pois o pedido chegou antes do prazo, mais quando abri a caixa o pedido estava incompleto. Pedi dois jogos e só veio um. Gostaria de uma resposta do site.",1
22946,Foi uma experiência sem nenhum fato negativo.,4
22951,"Ótimo... Prático e rápido, tanto para compra quanto para o recebimento... Amei!!!",5
22952,"A entrega foi feita no prazo, porem foi entregue somente um moedor de café e nao dois cono feito no pedido, aguardo retorno",1
